"station","arrondissement","mm","jj","n_tot","n_AM","n_PM","n_rush","temp","precip_ind"
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",9,5,11,1,5,6,20.1,0
"Parc Bariteau (Saint-Georges)","Longueuil",7,7,3,1,0,1,23.5,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",5,3,70,25,17,42,23.8,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",8,3,74,8,19,27,18.1,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",6,4,44,13,12,25,20.2,0
"de Chenonceau / Chomedey","Laval",7,1,5,0,0,0,20.9,0
"Bélanger / des Galeries d'Anjou","Anjou",5,6,29,2,10,12,14.5,0
"Desaulniers / Marquette","Longueuil",5,2,23,6,2,8,14.5,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",10,7,53,5,12,17,7.5,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",10,2,83,22,20,42,7,0
"Melville / de Maisonneuve","Westmount",9,2,123,19,46,65,13.7,0
"Métro Préfontaine (Préfontaine / Hochelaga)","Mercier - Hochelaga-Maisonneuve",5,5,81,6,21,27,20.3,0
"Mackay / Ste-Catherine","Ville-Marie",5,7,96,6,18,24,13.8,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",5,7,26,3,5,8,12.1,1
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",9,2,66,20,18,38,15.7,0
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",7,7,41,1,10,11,25,0
"Brébeuf / Curé-Poirier","Longueuil",7,3,5,1,0,1,23.3,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",6,6,148,6,39,45,19.8,0
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",5,5,38,1,11,12,12.4,0
"Atwater / Sherbrooke","Ville-Marie",7,3,49,9,5,14,22.8,1
"Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)","Rosemont - La Petite-Patrie",10,6,28,3,3,6,13.9,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",6,4,90,15,22,37,27.2,0
"Mackay / Ste-Catherine","Ville-Marie",8,3,128,15,52,67,18.1,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",10,1,9,2,4,6,1.2,0
"Dollard / Bernard","Outremont",9,4,68,30,15,45,20.1,0
"Carrefour Angrignon (Angrignon / Newman)","LaSalle",5,7,14,1,8,9,13.8,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",8,6,70,11,18,29,22.4,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",10,4,218,22,71,93,9.6,0
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",10,3,41,17,10,27,16.4,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",10,4,55,16,15,31,6.7,0
